(5052,943794)
(24318,943182)
(24318,943186)
(24318,943197)
(24318,943209)
(24318,943211)
(24318,943227)
(24318,943236)
(24318,943256)
(943182,943186)
(943182,943197)
(943182,943209)
(943182,943211)
(943182,943227)
(943182,943236)
(943182,943256)
(943186,943197)
(943186,943209)
(943186,943211)
(943186,943227)
(943186,943236)
(943186,943256)
(943197,943209)
(943197,943211)
(943197,943227)
(943197,943236)
(943197,943256)
(943209,943211)
(943209,943227)
(943209,943236)
(943209,943256)
(943211,943227)
(943211,943236)
(943211,943256)
(943227,943236)
(943227,943256)
(943236,943256)
(66986,67002)
(66986,943035)
(67002,943035)
(234509,943523)
(234509,943528)
(943523,943528)
(364025,943599)
(364025,943602)
(943599,943602)
(448394,449913)
(448394,450066)
(449913,450066)
(903042,942883)
(903042,942886)
(903042,942889)
(903042,942891)
(903042,942895)
(903042,942900)
(942883,942886)
(942883,942889)
(942883,942891)
(942883,942895)
(942883,942900)
(942886,942889)
(942886,942891)
(942886,942895)
(942886,942900)
(942889,942891)
(942889,942895)
(942889,942900)
(942891,942895)
(942891,942900)
(942895,942900)
(942748,942759)
(942748,942762)
(942748,942774)
(942748,942780)
(942759,942762)
(942759,942774)
(942759,942780)
(942762,942774)
(942762,942780)
(942774,942780)
(942791,942794)
(942791,942808)
(942791,942820)
(942791,942825)
(942791,942834)
(942794,942808)
(942794,942820)
(942794,942825)
(942794,942834)
(942808,942820)
(942808,942825)
(942808,942834)
(942820,942825)
(942820,942834)
(942825,942834)
(942838,942845)
(942909,942915)
(942909,942921)
(942909,942928)
(942915,942921)
(942915,942928)
(942921,942928)
(942939,942945)
(942939,942955)
(942945,942955)
(942960,942962)
(942980,942986)
(942980,942989)
(942986,942989)
(942999,943002)
(942999,943004)
(942999,943008)
(942999,943011)
(942999,943014)
(943002,943004)
(943002,943008)
(943002,943011)
(943002,943014)
(943004,943008)
(943004,943011)
(943004,943014)
(943008,943011)
(943008,943014)
(943011,943014)
(943065,943067)
(943065,943071)
(943065,943077)
(943067,943071)
(943067,943077)
(943071,943077)
(943079,943084)
(943079,943092)
(943079,943095)
(943084,943092)
(943084,943095)
(943092,943095)
(943119,943123)
(943119,943128)
(943119,943132)
(943119,943133)
(943123,943128)
(943123,943132)
(943123,943133)
(943128,943132)
(943128,943133)
(943132,943133)
(943144,943146)
(943154,943157)
(943166,943168)
(943166,943171)
(943166,943175)
(943168,943171)
(943168,943175)
(943171,943175)
(943274,943280)
(943282,943285)
(943297,943306)
(943297,943312)
(943297,943320)
(943297,943321)
(943306,943312)
(943306,943320)
(943306,943321)
(943312,943320)
(943312,943321)
(943320,943321)
(943329,943333)
(943342,943356)
(943373,943382)
(943373,943384)
(943373,943391)
(943373,943399)
(943373,943402)
(943373,943409)
(943373,943416)
(943373,943422)
(943373,943430)
(943373,943436)
(943373,943442)
(943382,943384)
(943382,943391)
(943382,943399)
(943382,943402)
(943382,943409)
(943382,943416)
(943382,943422)
(943382,943430)
(943382,943436)
(943382,943442)
(943384,943391)
(943384,943399)
(943384,943402)
(943384,943409)
(943384,943416)
(943384,943422)
(943384,943430)
(943384,943436)
(943384,943442)
(943391,943399)
(943391,943402)
(943391,943409)
(943391,943416)
(943391,943422)
(943391,943430)
(943391,943436)
(943391,943442)
(943399,943402)
(943399,943409)
(943399,943416)
(943399,943422)
(943399,943430)
(943399,943436)
(943399,943442)
(943402,943409)
(943402,943416)
(943402,943422)
(943402,943430)
(943402,943436)
(943402,943442)
(943409,943416)
(943409,943422)
(943409,943430)
(943409,943436)
(943409,943442)
(943416,943422)
(943416,943430)
(943416,943436)
(943416,943442)
(943422,943430)
(943422,943436)
(943422,943442)
(943430,943436)
(943430,943442)
(943436,943442)
(943445,943450)
(943445,943456)
(943445,943463)
(943450,943456)
(943450,943463)
(943456,943463)
(943491,943495)
(943491,943501)
(943495,943501)
(943566,943577)
(943566,943590)
(943577,943590)
(943604,943610)
(943604,943616)
(943604,943621)
(943610,943616)
(943610,943621)
(943616,943621)
(943637,943646)
(943649,943656)
(943649,943659)
(943656,943659)
(943709,943710)
(943709,943715)
(943709,943722)
(943710,943715)
(943710,943722)
(943715,943722)
(943731,943739)
(943786,943792)
(943799,943801)
(943824,943829)
(943824,943836)
(943824,943841)
(943824,943847)
(943824,943855)
(943829,943836)
(943829,943841)
(943829,943847)
(943829,943855)
(943836,943841)
(943836,943847)
(943836,943855)
(943841,943847)
(943841,943855)
(943847,943855)
(943894,943902)
(943894,943910)
(943902,943910)
(943933,943935)
(944003,944012)
(944054,944062)
(944109,944114)
(944122,944129)
